i j d
59 367 99.69
367 59 99.69
59 368 88.14
368 59 88.14
59 369 82.09
369 59 82.09
59 370 75.98
370 59 75.98
59 371 70.04
371 59 70.04
59 372 64.02
372 59 64.02
59 373 58.21
373 59 58.21
59 374 52.5
374 59 52.5
59 375 47.25
375 59 47.25
59 376 41.28
376 59 41.28
59 377 32.53
377 59 32.53
59 378 30.81
378 59 30.81
59 379 30.0
379 59 30.0
59 380 33.2
380 59 33.2
59 381 36.12
381 59 36.12
59 382 40.03
382 59 40.03
59 383 44.75
383 59 44.75
60 61 7.14
61 60 7.14
60 62 13.81
62 60 13.81
60 63 20.63
63 60 20.63
60 64 29.22
64 60 29.22
60 65 30.93
65 60 30.93
60 66 33.8
66 60 33.8
60 67 38.69
67 60 38.69
60 68 60.11
68 60 60.11
60 69 66.56
69 60 66.56
60 70 73.33
70 60 73.33
60 71 84.86
71 60 84.86
60 72 90.08
72 60 90.08
60 73 96.35
73 60 96.35
60 74 103.55
74 60 103.55
60 75 110.24
75 60 110.24
60 76 115.63
76 60 115.63
60 77 119.37
77 60 119.37
60 78 114.43
78 60 114.43
60 79 108.04
79 60 108.04
60 80 95.86
80 60 95.86
60 81 89.39
81 60 89.39
60 82 82.79
82 60 82.79
60 83 76.28
83 60 76.28
60 84 69.55
84 60 69.55
60 85 62.88
85 60 62.88
60 86 56.1
86 60 56.1
60 87 49.52
87 60 49.52
60 88 41.39
88 60 41.39
60 89 26.46
89 60 26.46
60 90 21.06
90 60 21.06
60 91 14.53
91 60 14.53
60 92 3.0
92 60 3.0
60 93 7.74
93 60 7.74
60 94 14.13
94 60 14.13
60 95 20.85
95 60 20.85
60 96 29.68
96 60 29.68
60 97 31.36
97 60 31.36
60 98 34.2
98 60 34.2
60 99 39.03
99 60 39.03
60 100 60.34
100 60 60.34
60 101 66.76
101 60 66.76
60 102 73.52
102 60 73.52
60 103 85.02
103 60 85.02
60 104 90.23
104 60 90.23
60 105 96.49
105 60 96.49
60 106 103.68
106 60 103.68
60 107 110.36
107 60 110.36
60 108 115.75
108 60 115.75
60 109 119.48
109 60 119.48
60 110 114.55
110 60 114.55
60 111 108.17
111 60 108.17
60 112 96.0
112 60 96.0
60 113 89.54
113 60 89.54
60 114 82.96
114 60 82.96
60 115 76.46
115 60 76.46
60 116 69.75
116 60 69.75
60 117 63.1
117 60 63.1
60 118 56.34
118 60 56.34
60 119 49.79
119 60 49.79
60 120 41.71
120 60 41.71
60 121 26.97
121 60 26.97
60 122 21.7
122 60 21.7
60 123 15.43
123 60 15.43
60 124 6.0
124 60 6.0
60 125 9.33
125 60 9.33
60 126 15.06
126 60 15.06
60 127 21.48
127 60 21.48
60 128 30.43
128 60 30.43
60 129 32.07
129 60 32.07
60 130 34.85
130 60 34.85
60 131 39.61
131 60 39.61
60 132 60.71
132 60 60.71
60 133 67.1
133 60 67.1
60 134 73.82
134 60 73.82
60 135 85.29
135 60 85.29
60 136 90.48
136 60 90.48
60 137 96.72
137 60 96.72
60 138 103.9
138 60 103.9
60 139 110.57
139 60 110.57
60 140 115.94
140 60 115.94
60 141 119.67
141 60 119.67
60 142 114.74
142 60 114.74
60 143 108.37
143 60 108.37
60 144 96.23
144 60 96.23
60 145 89.79
145 60 89.79
60 146 83.23
146 60 83.23
60 147 76.75
147 60 76.75
60 148 70.07
148 60 70.07
60 149 63.45
149 60 63.45
60 150 56.74
150 60 56.74
60 151 50.24
151 60 50.24
60 152 42.25
152 60 42.25
60 153 27.79
153 60 27.79
60 154 22.71
154 60 22.71
60 155 16.83
155 60 16.83
60 156 9.0
156 60 9.0
60 157 11.49
157 60 11.49
60 158 16.48
158 60 16.48
60 159 22.51
159 60 22.51
60 160 31.45
160 60 31.45
60 161 33.04
161 60 33.04
60 162 35.74
162 60 35.74
60 163 40.39
163 60 40.39
60 164 61.23
164 60 61.23
60 165 67.56
165 60 67.56
60 166 74.25
166 60 74.25
60 167 85.65
167 60 85.65
60 168 90.83
168 60 90.83
60 169 97.04
169 60 97.04
60 170 104.2
170 60 104.2
60 171 110.85
171 60 110.85
60 172 116.21
172 60 116.21
60 173 119.93
173 60 119.93
60 174 115.02
174 60 115.02
60 175 108.66
175 60 108.66
60 176 96.56
176 60 96.56
60 177 90.14
177 60 90.14
60 178 83.61
178 60 83.61
60 179 77.16
179 60 77.16
60 180 70.52
180 60 70.52
60 181 63.95
181 60 63.95
60 182 57.29
182 60 57.29
60 183 50.87
183 60 50.87
60 184 42.99
184 60 42.99
60 185 28.9
185 60 28.9
60 186 24.06
186 60 24.06
60 187 18.61
187 60 18.61
60 188 12.0
188 60 12.0
60 189 13.96
189 60 13.96
60 190 18.3
190 60 18.3
60 191 23.87
191 60 23.87
60 192 32.71
192 60 32.71
60 193 34.24
193 60 34.24
60 194 36.86
194 60 36.86
60 195 41.38
195 60 41.38
60 196 61.89
196 60 61.89
60 197 68.16
197 60 68.16
60 198 74.79
198 60 74.79
60 199 86.13
199 60 86.13
60 200 91.27
200 60 91.27
60 201 97.46
201 60 97.46
60 202 104.59
202 60 104.59
60 203 111.22
203 60 111.22
60 204 116.56
204 60 116.56
60 205 120.27
205 60 120.27
60 206 115.37
206 60 115.37
60 207 109.04
207 60 109.04
60 208 96.98
208 60 96.98
60 209 90.59
209 60 90.59
60 210 84.09
210 60 84.09
60 211 77.68
211 60 77.68
60 212 71.09
212 60 71.09
60 213 64.58
213 60 64.58
60 214 57.99
214 60 57.99
60 215 51.66
215 60 51.66
60 216 43.92
216 60 43.92
60 217 30.27
217 60 30.27
60 218 25.69
218 60 25.69
60 219 20.67
219 60 20.67
60 220 15.0
220 60 15.0
60 221 16.61
221 60 16.61
60 222 20.39
222 60 20.39
60 223 25.51
223 60 25.51
60 224 34.19
224 60 34.19
60 225 35.66
225 60 35.66
60 226 38.18
226 60 38.18
60 227 42.56
227 60 42.56
60 228 62.68
228 60 62.68
60 229 68.88
229 60 68.88
60 230 75.45
230 60 75.45
60 231 86.7
231 60 86.7
60 232 91.81
232 60 91.81
60 233 97.97
233 60 97.97
60 234 105.06
234 60 105.06
60 235 111.66
235 60 111.66
60 236 116.98
236 60 116.98
60 237 120.68
237 60 120.68
60 238 115.8
238 60 115.8
60 239 109.49
239 60 109.49
60 240 97.49
240 60 97.49
60 241 91.14
241 60 91.14
60 242 84.68
242 60 84.68
60 243 78.32
243 60 78.32
60 244 71.78
244 60 71.78
60 245 65.34
245 60 65.34
60 246 58.84
246 60 58.84
60 247 52.61
247 60 52.61
60 248 45.03
248 60 45.03
60 249 31.86
249 60 31.86
60 250 27.54
250 60 27.54
60 251 22.94
251 60 22.94
60 252 18.0
252 60 18.0
60 253 19.36
253 60 19.36
60 254 22.69
254 60 22.69
60 255 27.38
255 60 27.38
60 256 35.86
256 60 35.86
60 257 37.26
257 60 37.26
60 258 39.68
258 60 39.68
60 259 43.92
259 60 43.92
60 260 63.61
260 60 63.61
60 261 69.73
261 60 69.73
60 262 76.22
262 60 76.22
60 263 87.37
263 60 87.37
60 264 92.45
264 60 92.45
60 265 98.56
265 60 98.56
60 266 105.62
266 60 105.62
60 267 112.18
267 60 112.18
60 268 117.48
268 60 117.48
60 269 121.16
269 60 121.16
60 270 116.3
270 60 116.3
60 271 110.02
271 60 110.02
60 272 98.08
272 60 98.08
60 273 91.77
273 60 91.77
60 274 85.36
274 60 85.36
60 275 79.06
275 60 79.06
60 276 72.59
276 60 72.59
60 277 66.23
277 60 66.23
60 278 59.83
278 60 59.83
60 279 53.71
279 60 53.71
60 280 46.31
280 60 46.31
60 281 33.65
281 60 33.65
60 282 29.59
282 60 29.59
60 283 25.36
283 60 25.36
60 284 21.0
284 60 21.0
60 285 22.18
285 60 22.18
60 286 25.13
286 60 25.13
60 287 29.44
287 60 29.44
60 288 37.7
288 60 37.7
60 289 39.03
289 60 39.03
60 290 41.35
290 60 41.35
60 291 45.43
291 60 45.43
60 292 64.66
292 60 64.66
60 293 70.69
293 60 70.69
60 294 77.1
294 60 77.1
60 295 88.14
295 60 88.14
60 296 93.17
296 60 93.17
60 297 99.25
297 60 99.25
60 298 106.26
298 60 106.26
60 299 112.78
299 60 112.78
60 300 118.06
300 60 118.06
60 301 121.72
301 60 121.72
60 302 116.88
302 60 116.88
60 303 110.63
303 60 110.63
60 304 98.77
304 60 98.77
60 305 92.51
305 60 92.51
60 306 86.15
306 60 86.15
60 307 79.91
307 60 79.91
60 308 73.52
308 60 73.52
60 309 67.24
309 60 67.24
60 310 60.94
310 60 60.94
60 311 54.95
311 60 54.95
60 312 47.75
312 60 47.75
60 313 35.6
313 60 35.6
60 314 31.79
314 60 31.79
60 315 27.9
315 60 27.9
60 316 24.0
316 60 24.0
60 317 25.04
317 60 25.04
60 318 27.69
318 60 27.69
60 319 31.65
319 60 31.65
60 320 39.67
320 60 39.67
60 321 40.94
321 60 40.94
60 322 43.16
322 60 43.16
60 323 47.08
323 60 47.08
60 324 65.83
324 60 65.83
60 325 71.76
325 60 71.76
60 326 78.09
326 60 78.09
60 327 89.0
327 60 89.0
60 328 93.99
328 60 93.99
60 329 100.01
329 60 100.01
60 330 106.97
330 60 106.97
60 331 113.46
331 60 113.46
60 332 118.7
332 60 118.7
60 333 122.35
333 60 122.35
60 334 117.53
334 60 117.53
60 335 111.32
335 60 111.32
60 336 99.54
336 60 99.54
60 337 93.33
337 60 93.33
60 338 87.03
338 60 87.03
60 339 80.86
339 60 80.86
60 340 74.55
340 60 74.55
60 341 68.37
341 60 68.37
60 342 62.19
342 60 62.19
60 343 56.32
343 60 56.32
60 344 49.33
344 60 49.33
60 345 37.69
345 60 37.69
60 346 34.11
346 60 34.11
60 347 30.52
347 60 30.52
60 348 27.0
348 60 27.0
60 349 27.93
349 60 27.93
60 350 30.33
350 60 30.33
60 351 33.98
351 60 33.98
60 352 41.77
352 60 41.77
60 353 42.98
353 60 42.98
60 354 45.1
354 60 45.1
60 355 48.86
355 60 48.86
60 356 67.12
356 60 67.12
60 357 72.94
357 60 72.94
60 358 79.17
358 60 79.17
60 359 89.96
359 60 89.96
60 360 94.9
360 60 94.9
60 361 100.86
361 60 100.86
60 362 107.77
362 60 107.77
60 363 114.21
363 60 114.21
60 364 119.42
364 60 119.42
60 365 123.04
365 60 123.04
60 366 118.26
366 60 118.26
60 367 112.09
367 60 112.09
60 368 100.4
368 60 100.4
60 369 94.24
369 60 94.24
60 370 88.01
370 60 88.01
60 371 81.91
371 60 81.91
60 372 75.69
372 60 75.69
60 373 69.61
373 60 69.61
60 374 63.55
374 60 63.55
60 375 57.82
375 60 57.82
60 376 51.03
376 60 51.03
60 377 39.89
377 60 39.89
60 378 36.53
378 60 36.53
60 379 33.2
379 60 33.2
60 380 30.0
380 60 30.0
60 381 30.84
381 60 30.84
60 382 33.03
382 60 33.03
60 383 36.41
383 60 36.41
61 62 6.67
62 61 6.67
61 63 13.49
63 61 13.49
61 64 22.22
64 61 22.22
61 65 24.42
65 61 24.42
61 66 27.97
66 61 27.97
61 67 33.7
67 61 33.7
61 68 55.07
68 61 55.07
61 69 61.51
69 61 61.51
61 70 68.29
70 61 68.29
61 71 79.82
71 61 79.82
61 72 85.03
72 61 85.03
61 73 91.3
73 61 91.3
61 74 98.51
74 61 98.51
61 75 105.19
75 61 105.19
61 76 110.58
76 61 110.58
61 77 114.56
77 61 114.56
61 78 119.64
78 61 119.64
61 79 113.94
79 61 113.94
61 80 101.75
80 61 101.75
61 81 95.29
81 61 95.29
61 82 88.69
82 61 88.69
61 83 82.17
83 61 82.17
61 84 75.45
84 61 75.45
61 85 68.78
85 61 68.78
61 86 61.99
86 61 61.99
61 87 55.41
87 61 55.41
61 88 47.28
88 61 47.28
61 89 32.33
89 61 32.33
61 90 26.92
90 61 26.92
61 91 20.34
91 61 20.34
61 92 7.74
92 61 7.74
61 93 3.0
93 61 3.0
61 94 7.31
94 61 7.31
61 95 13.82
95 61 13.82
61 96 22.82
96 61 22.82
61 97 24.96
97 61 24.96
61 98 28.45
98 61 28.45
61 99 34.1
99 61 34.1
61 100 55.32
100 61 55.32
61 101 61.73
101 61 61.73
61 102 68.48
102 61 68.48
61 103 79.99
103 61 79.99
61 104 85.19
104 61 85.19
61 105 91.45
105 61 91.45
61 106 98.64
106 61 98.64
61 107 105.32
107 61 105.32
61 108 110.7
108 61 110.7
61 109 114.68
109 61 114.68
61 110 119.75
110 61 119.75
61 111 114.06
111 61 114.06
61 112 101.89
112 61 101.89
61 113 95.43
113 61 95.43
61 114 88.84
114 61 88.84
61 115 82.34
115 61 82.34
61 116 75.63
116 61 75.63
61 117 68.97
117 61 68.97
61 118 62.21
118 61 62.21
61 119 55.65
119 61 55.65
61 120 47.56
120 61 47.56
61 121 32.74
121 61 32.74
61 122 27.41
122 61 27.41
61 123 21.0
123 61 21.0
61 124 9.33
124 61 9.33
61 125 6.0
125 61 6.0
61 126 8.97
126 61 8.97
61 127 14.76
127 61 14.76
61 128 23.79
128 61 23.79
61 129 25.85
129 61 25.85
61 130 29.23
130 61 29.23
61 131 34.76
131 61 34.76
61 132 55.72
132 61 55.72
61 133 62.1
133 61 62.1
61 134 68.81
134 61 68.81
61 135 80.27
135 61 80.27
61 136 85.46
136 61 85.46
61 137 91.69
137 61 91.69
61 138 98.87
138 61 98.87
61 139 105.53
139 61 105.53
61 140 110.91
140 61 110.91
61 141 114.87
141 61 114.87
61 142 119.94
142 61 119.94
61 143 114.26
143 61 114.26
61 144 102.11
144 61 102.11
61 145 95.66
145 61 95.66
61 146 89.1
146 61 89.1
61 147 82.61
147 61 82.61
61 148 75.93
148 61 75.93
61 149 69.3
149 61 69.3
61 150 62.57
150 61 62.57
61 151 56.06
151 61 56.06
61 152 48.03
152 61 48.03
61 153 33.42
153 61 33.42
61 154 28.22
154 61 28.22
61 155 22.04
155 61 22.04
61 156 11.49
156 61 11.49
61 157 9.0
157 61 9.0
61 158 11.2
158 61 11.2
61 159 16.22
159 61 16.22
61 160 25.08
160 61 25.08
61 161 27.04
161 61 27.04
61 162 30.29
162 61 30.29
61 163 35.65
163 61 35.65
61 164 56.28
164 61 56.28
61 165 62.6
165 61 62.6
61 166 69.27
166 61 69.27
61 167 80.66
167 61 80.66
61 168 85.82
168 61 85.82
61 169 92.04
169 61 92.04
61 170 99.19
170 61 99.19
61 171 105.83
171 61 105.83
61 172 111.19
172 61 111.19
61 173 115.15
173 61 115.15
61 174 120.2
174 61 120.2
61 175 114.53
175 61 114.53
61 176 102.42
176 61 102.42
61 177 95.99
177 61 95.99
61 178 89.45
178 61 89.45
61 179 82.99
179 61 82.99
61 180 76.34
180 61 76.34
61 181 69.75
181 61 69.75
61 182 63.07
182 61 63.07
61 183 56.62
183 61 56.62
61 184 48.68
184 61 48.68
61 185 34.35
185 61 34.35
61 186 29.32
186 61 29.32
61 187 23.43
187 61 23.43
61 188 13.96
188 61 13.96
61 189 12.0
189 61 12.0
61 190 13.73
190 61 13.73
61 191 18.05
191 61 18.05
61 192 26.64
192 61 26.64
61 193 28.5
193 61 28.5
61 194 31.6
194 61 31.6
61 195 36.77
195 61 36.77
61 196 57.0
196 61 57.0
61 197 63.24
197 61 63.24
61 198 69.85
198 61 69.85
61 199 81.16
199 61 81.16
61 200 86.29
200 61 86.29
61 201 92.47
201 61 92.47
61 202 99.6
202 61 99.6
61 203 106.21
203 61 106.21
61 204 111.55
204 61 111.55
61 205 115.5
205 61 115.5
61 206 120.54
206 61 120.54
61 207 114.88
207 61 114.88
61 208 102.81
208 61 102.81
61 209 96.41
209 61 96.41
61 210 89.9
210 61 89.9
61 211 83.48
211 61 83.48
61 212 76.87
212 61 76.87
61 213 70.33
213 61 70.33
61 214 63.71
214 61 63.71
61 215 57.33
215 61 57.33
61 216 49.51
216 61 49.51
61 217 35.51
217 61 35.51
61 218 30.67
218 61 30.67
61 219 25.1
219 61 25.1
61 220 16.61
220 61 16.61
61 221 15.0
221 61 15.0
61 222 16.42
222 61 16.42
61 223 20.17
223 61 20.17
61 224 28.44
224 61 28.44
61 225 30.18
225 61 30.18
61 226 33.13
226 61 33.13
61 227 38.09
227 61 38.09
61 228 57.86
228 61 57.86
61 229 64.02
229 61 64.02
61 230 70.55
230 61 70.55
61 231 81.77
231 61 81.77
61 232 86.87
232 61 86.87
61 233 93.01
233 61 93.01
61 234 100.09
234 61 100.09
61 235 106.68
235 61 106.68
61 236 112.0
236 61 112.0
61 237 115.93
237 61 115.93
61 238 120.95
238 61 120.95
61 239 115.31
239 61 115.31
61 240 103.29
240 61 103.29
61 241 96.93
241 61 96.93
61 242 90.45
242 61 90.45
61 243 84.07
243 61 84.07
61 244 77.51
244 61 77.51
61 245 71.03
245 61 71.03
61 246 64.48
246 61 64.48
61 247 58.18
247 61 58.18
61 248 50.5
248 61 50.5
61 249 36.88
249 61 36.88
61 250 32.24
250 61 32.24
61 251 27.0
251 61 27.0
61 252 19.36
252 61 19.36
61 253 18.0
253 61 18.0
61 254 19.2
254 61 19.2
61 255 22.49
255 61 22.49
61 256 30.43
256 61 30.43
61 257 32.06
257 61 32.06
61 258 34.85
258 61 34.85
61 259 39.6
259 61 39.6
61 260 58.86
260 61 58.86
61 261 64.93
261 61 64.93
61 262 71.38
262 61 71.38
61 263 82.48
263 61 82.48
61 264 87.54
264 61 87.54
61 265 93.64
265 61 93.64
61 266 100.67
266 61 100.67
61 267 107.23
267 61 107.23
61 268 112.52
268 61 112.52
61 269 116.43
269 61 116.43
61 270 121.43
270 61 121.43
61 271 115.82
271 61 115.82
61 272 103.86
272 61 103.86
61 273 97.53
273 61 97.53
61 274 91.09
274 61 91.09
61 275 84.76
275 61 84.76
61 276 78.26
276 61 78.26
61 277 71.85
277 61 71.85
61 278 65.38
278 61 65.38
61 279 59.18
279 61 59.18
61 280 51.64
280 61 51.64
61 281 38.43
281 61 38.43
61 282 34.01
282 61 34.01
61 283 29.08
283 61 29.08
61 284 22.18
284 61 22.18
61 285 21.0
285 61 21.0
61 286 22.03
286 61 22.03
61 287 24.96
287 61 24.96
61 288 32.57
288 61 32.57
61 289 34.1
289 61 34.1
61 290 36.73
290 61 36.73
61 291 41.27
291 61 41.27
61 292 60.0
292 61 60.0
61 293 65.96
293 61 65.96
61 294 72.32
294 61 72.32
61 295 83.29
295 61 83.29
61 296 88.3
296 61 88.3
61 297 94.35
297 61 94.35
61 298 101.34
298 61 101.34
61 299 107.85
299 61 107.85
61 300 113.12
300 61 113.12
61 301 117.01
301 61 117.01
61 302 121.98
302 61 121.98
61 303 116.4
303 61 116.4
61 304 104.5
304 61 104.5
61 305 98.22
305 61 98.22
61 306 91.83
306 61 91.83
61 307 85.56
307 61 85.56
61 308 79.12
308 61 79.12
61 309 72.78
309 61 72.78
61 310 66.41
310 61 66.41
61 311 60.31
311 61 60.31
61 312 52.93
312 61 52.93
61 313 40.15
313 61 40.15
61 314 35.94
314 61 35.94
61 315 31.32
315 61 31.32
61 316 25.04
316 61 25.04
61 317 24.0
317 61 24.0
61 318 24.91
318 61 24.91
61 319 27.53
319 61 27.53
61 320 34.84
320 61 34.84
61 321 36.28
321 61 36.28
61 322 38.76
322 61 38.76
61 323 43.08
323 61 43.08
61 324 61.26
324 61 61.26
61 325 67.11
325 61 67.11
61 326 73.37
326 61 73.37
61 327 84.21
327 61 84.21
61 328 89.17
328 61 89.17
61 329 95.16
329 61 95.16
61 330 102.09
330 61 102.09
61 331 108.56
331 61 108.56
61 332 113.79
332 61 113.79
61 333 117.66
333 61 117.66
61 334 122.61
334 61 122.61
61 335 117.06
335 61 117.06
61 336 105.23
336 61 105.23
61 337 98.99
337 61 98.99
61 338 92.66
338 61 92.66
61 339 86.44
339 61 86.44
61 340 80.08
340 61 80.08
61 341 73.82
341 61 73.82
61 342 67.55
342 61 67.55
61 343 61.57
343 61 61.57
61 344 54.36
344 61 54.36
61 345 42.01
345 61 42.01
61 346 38.01
346 61 38.01
61 347 33.67
347 61 33.67
61 348 27.93
348 61 27.93
61 349 27.0
349 61 27.0
61 350 27.81
350 61 27.81
61 351 30.18
351 61 30.18
61 352 37.21
352 61 37.21
61 353 38.56
353 61 38.56
61 354 40.91
354 61 40.91
61 355 45.02
355 61 45.02
61 356 62.64
356 61 62.64
61 357 68.37
357 61 68.37
61 358 74.52
358 61 74.52
61 359 85.22
359 61 85.22
61 360 90.12
360 61 90.12
61 361 96.05
361 61 96.05
61 362 102.93
362 61 102.93
61 363 109.35
363 61 109.35
61 364 114.54
364 61 114.54
61 365 118.38
365 61 118.38
61 366 123.31
366 61 123.31
61 367 117.78
367 61 117.78
61 368 106.04
368 61 106.04
61 369 99.85
369 61 99.85
61 370 93.58
370 61 93.58
61 371 87.43
371 61 87.43
61 372 81.14
372 61 81.14
61 373 74.97
373 61 74.97
61 374 68.8
374 61 68.8
61 375 62.94
375 61 62.94
61 376 55.91
376 61 55.91
61 377 44.0
377 61 44.0
61 378 40.19
378 61 40.19
61 379 36.12
379 61 36.12
61 380 30.84
380 61 30.84
61 381 30.0
381 61 30.0
61 382 30.73
382 61 30.73
61 383 32.89
383 61 32.89
62 63 6.82
63 62 6.82
62 64 15.8
64 62 15.8
62 65 18.75
65 62 18.75
62 66 23.2
66 62 23.2
62 67 29.86
67 62 29.86
62 68 51.03
68 62 51.03
62 69 57.47
69 62 57.47
62 70 64.24
70 62 64.24
62 71 75.77
71 62 75.77
62 72 80.99
72 62 80.99
62 73 87.25
73 62 87.25
62 74 94.46
74 62 94.46
62 75 101.14
75 62 101.14
62 76 106.53
76 62 106.53
62 77 110.51
77 62 110.51
62 78 115.59
78 62 115.59
62 79 120.33
79 62 120.33
62 80 108.14
80 62 108.14
62 81 101.67
81 62 101.67
62 82 95.08
82 62 95.08
62 83 88.56
83 62 88.56
62 84 81.84
84 62 81.84
62 85 75.16
85 62 75.16
62 86 68.38
86 62 68.38
62 87 61.79
87 62 61.79
62 88 53.65
88 62 53.65
62 89 38.7
89 62 38.7
62 90 33.28
90 62 33.28
62 91 26.68
91 62 26.68
62 92 14.13
92 62 14.13
62 93 7.31
93 62 7.31
62 94 3.0
94 62 3.0
62 95 7.45
95 62 7.45
62 96 16.63
96 62 16.63
62 97 19.46
97 62 19.46
62 98 23.78
98 62 23.78
62 99 30.31
99 62 30.31
62 100 51.29
100 62 51.29
62 101 57.7
101 62 57.7
62 102 64.45
102 62 64.45
62 103 75.95
103 62 75.95
62 104 81.15
104 62 81.15
62 105 87.41
105 62 87.41
62 106 94.6
106 62 94.6
62 107 101.28
107 62 101.28
62 108 106.66
108 62 106.66
62 109 110.63
109 62 110.63
62 110 115.71
110 62 115.71
62 111 120.44
111 62 120.44
62 112 108.27
112 62 108.27
62 113 101.81
113 62 101.81
62 114 95.22
114 62 95.22
62 115 88.71
115 62 88.71
62 116 82.0
116 62 82.0
62 117 75.34
117 62 75.34
62 118 68.57
118 62 68.57
62 119 62.01
119 62 62.01
62 120 53.9
120 62 53.9
62 121 39.04
121 62 39.04
62 122 33.68
122 62 33.68
62 123 27.18
123 62 27.18
62 124 15.06
124 62 15.06
62 125 8.97
125 62 8.97
62 126 6.0
126 62 6.0
62 127 9.08
127 62 9.08
62 128 17.93
128 62 17.93
62 129 20.58
129 62 20.58
62 130 24.71
130 62 24.71
62 131 31.04
131 62 31.04
62 132 51.73
132 62 51.73
62 133 58.09
133 62 58.09
62 134 64.8
134 62 64.8
62 135 76.24
135 62 76.24
62 136 81.43
136 62 81.43
62 137 87.66
137 62 87.66
62 138 94.84
138 62 94.84
62 139 101.5
139 62 101.5
62 140 106.87
140 62 106.87
62 141 110.84
141 62 110.84
62 142 115.9
142 62 115.9
62 143 120.63
143 62 120.63
62 144 108.47
144 62 108.47
62 145 102.03
145 62 102.03
62 146 95.46
146 62 95.46
62 147 88.97
147 62 88.97
62 148 82.27
148 62 82.27
62 149 75.64
149 62 75.64
62 150 68.9
150 62 68.9
62 151 62.37
151 62 62.37
62 152 54.32
152 62 54.32
62 153 39.62
153 62 39.62
62 154 34.34
154 62 34.34
62 155 28.0
155 62 28.0
62 156 16.48
156 62 16.48
62 157 11.2
157 62 11.2
62 158 9.0
158 62 9.0
62 159 11.29
159 62 11.29
62 160 19.61
160 62 19.61
62 161 22.06
161 62 22.06
62 162 25.95
162 62 25.95
62 163 32.04
163 62 32.04
62 164 52.33
164 62 52.33
62 165 58.63
165 62 58.63
62 166 65.28
166 62 65.28
62 167 76.66
167 62 76.66
62 168 81.81
168 62 81.81
62 169 88.02
169 62 88.02
62 170 95.17
170 62 95.17
62 171 101.81
171 62 101.81
62 172 107.16
172 62 107.16
62 173 111.12
173 62 111.12
62 174 116.17
174 62 116.17
62 175 120.89
175 62 120.89
62 176 108.76
176 62 108.76
62 177 102.34
177 62 102.34
62 178 95.78
178 62 95.78
62 179 89.32
179 62 89.32
62 180 82.66
180 62 82.66
62 181 76.05
181 62 76.05
62 182 69.36
182 62 69.36
62 183 62.88
183 62 62.88
62 184 54.9
184 62 54.9
62 185 40.4
185 62 40.4
62 186 35.25
186 62 35.25
62 187 29.1
187 62 29.1
62 188 18.3
188 62 18.3
62 189 13.73
189 62 13.73
62 190 12.0
190 62 12.0
62 191 13.8
191 62 13.8
62 192 21.58
192 62 21.58
62 193 23.82
193 62 23.82
62 194 27.47
194 62 27.47
62 195 33.28
195 62 33.28
62 196 53.1
196 62 53.1
62 197 59.32
197 62 59.32
62 198 65.9
198 62 65.9
62 199 77.18
199 62 77.18
62 200 82.31
200 62 82.31
62 201 88.48
201 62 88.48
62 202 95.59
202 62 95.59
62 203 102.21
203 62 102.21
62 204 107.54
204 62 107.54
62 205 111.48
205 62 111.48
62 206 116.52
206 62 116.52
62 207 121.22
207 62 121.22
62 208 109.14
208 62 109.14
62 209 102.73
209 62 102.73
62 210 96.21
210 62 96.21
62 211 89.77
211 62 89.77
62 212 83.14
212 62 83.14
62 213 76.58
213 62 76.58
62 214 69.94
214 62 69.94
62 215 63.52
215 62 63.52
62 216 55.63
216 62 55.63
62 217 41.39
217 62 41.39
62 218 36.38
218 62 36.38
62 219 30.46
219 62 30.46
62 220 20.39
220 62 20.39
62 221 16.42
221 62 16.42
62 222 15.0
222 62 15.0
62 223 16.48
223 62 16.48
62 224 23.76
224 62 23.76
62 225 25.82
225 62 25.82
62 226 29.21
226 62 29.21
62 227 34.74
227 62 34.74
62 228 54.03
228 62 54.03
62 229 60.15
229 62 60.15
62 230 66.65
230 62 66.65
62 231 77.82
231 62 77.82
62 232 82.91
232 62 82.91
62 233 89.04
233 62 89.04
62 234 96.11
234 62 96.11
62 235 102.69
235 62 102.69
62 236 108.0
236 62 108.0
62 237 111.93
237 62 111.93
62 238 116.94
238 62 116.94
62 239 121.63
239 62 121.63
62 240 109.59
240 62 109.59
62 241 103.21
241 62 103.21
62 242 96.72
242 62 96.72
62 243 90.32
243 62 90.32
62 244 83.74
244 62 83.74
62 245 77.23
245 62 77.23
62 246 70.64
246 62 70.64
62 247 64.29
247 62 64.29
62 248 56.51
248 62 56.51
62 249 42.57
249 62 42.57
62 250 37.71
250 62 37.71
62 251 32.04
251 62 32.04
62 252 22.69
252 62 22.69
62 253 19.2
253 62 19.2
62 254 18.0
254 62 18.0
62 255 19.25
255 62 19.25
62 256 26.11
256 62 26.11
62 257 27.99
257 62 27.99
62 258 31.15
258 62 31.15
62 259 36.38
259 62 36.38
62 260 55.1
260 62 55.1
62 261 61.11
261 62 61.11
62 262 67.52
262 62 67.52
62 263 78.57
263 62 78.57
62 264 83.61
264 62 83.61
62 265 89.69
265 62 89.69
62 266 96.72
266 62 96.72
62 267 103.26
267 62 103.26
62 268 108.54
268 62 108.54
62 269 112.45
269 62 112.45
62 270 117.44
270 62 117.44
62 271 122.11
271 62 122.11
62 272 110.12
272 62 110.12
62 273 103.78
273 62 103.78
62 274 97.32
274 62 97.32
62 275 90.97
